2019/02/18 09:47:23.413 [I] [asm_amd64.s:1333]  http server Running on http://:8080
2019/02/18 09:47:25.526 [I] [asm_amd64.s:1333]  http server Running on http://:8080
2019/02/18 09:47:27.821 [I] [asm_amd64.s:1333]  http server Running on http://:8080
2019/02/18 10:09:10.720 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:410sSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 10:09:10.721 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 10:09:15.905 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:410sSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 10:09:15.905 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 10:09:32.318 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/user.go:180sSELECT * FROM "users"  WHERE "users"."deleted_at" IS NULL AND ((email = ? and pwd = ?)) LIMIT 1[532889507@qq.com 123456@x] 1
2019/02/18 10:09:32.639 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:411.0137msSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 10:09:32.639 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 10:09:58.935 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:410sSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 10:09:58.936 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:45969.8µsSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
2019/02/18 10:10:24.318 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/user.go:230sSELECT * FROM "users"  WHERE "users"."deleted_at" IS NULL AND ((name = ?)) LIMIT 1[测试] 0
2019/02/18 10:10:24.318 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/user.go:270sSELECT * FROM "users"  WHERE "users"."deleted_at" IS NULL AND ((email = ?)) LIMIT 1[123@qq.com] 0
2019/02/18 10:10:24.320 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/user.go:351.9967msINSERT INTO "users" ("created_at","updated_at","deleted_at","name","email","avatar","pwd","role","editor") VALUES (?,?,?,?,?,?,?,?,?)[2019-02-18 10:10:24.3182171 +0800 CST m=+191.454050901 2019-02-18 10:10:24.3182171 +0800 CST m=+191.454050901 <nil> 测试 123@qq.com  123456 1 ] 1
2019/02/18 10:10:41.254 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/user.go:180sSELECT * FROM "users"  WHERE "users"."deleted_at" IS NULL AND ((email = ? and pwd = ?)) LIMIT 1[123@qq.com 123456] 1
2019/02/18 10:10:41.575 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:41971.3µsSELECT * FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?)) ORDER BY updated_at DESC LIMIT 10 OFFSET 0[%%] 1
2019/02/18 10:10:41.575 [main.go:787]  [ORM] sqlE:/go_site/src/github.com/blog/liteblog/models/note.go:450sSELECT count(*) FROM "notes"  WHERE "notes"."deleted_at" IS NULL AND ((title like ?))[%%] 0
